MFL codes,Name,Province,COUNTY,District,Division,KP TYPE,Implementing Partner Name,Clinician Present Yes/No
20523,Naselica,,Kisumu,,,"FSW,MSM,IDU",LVCT,Yes
20934,Sondu Prevention Centre,,Kisumu,,,"FSW,MSM",LVCT,Yes
22564,Tumaini Awasi,,Kisumu,,,"FSW,MSM",LVCT,Yes
16662,Tivoli,,Kisumu,,,"FSW,MSM,IDU",LVCT,Yes
24200,Manyatta,,Kisumu,,,PWID,LVCT,Yes
21220,Anza Mapema ,,Kisumu,,,MSM,NRHS,Yes
22094,MAAYGO,,Kisumu,,,MSM,MAAYGO,Yes
20700,KASH Kondele,,Kisumu,,,"FSW,MSM",KASH,Yes
24010,KASH Nyamira,,Nyamira,,,"FSW,MSM",KASH,Yes
18897,Migori,,Migori,,,"FSW, MSM, PWID",LVCT,Yes
20019,Isebania Prevention Centre,,Migori,,,"FSW, MSM, PWID",LVCT,Yes
19929,Tekeleza DIC Sori,,Migori,,,"FSW, MSM, PWID",LVCT,Yes
19930,Muhuru Bay,,Migori,,,"FSW, MSM, PWID",LVCT,Yes
18503,Awendo,,Migori,,,"FSW, MSM, PWID",LVCT,Yes
18109,Tumaini DIC Bondo (Tuungane),,Siaya,,,"FSW,MSM, PWID",IRDO,Yes
18557,Tumaini DIC Asembo,,Siaya,,,"FSW,MSM, PWID",IRDO,Yes
22173,Tumaini DIC Siaya,,Siaya,,,"FSW,MSM, PWID",IRDO,Yes
22392,Tumaini DIC Ugunja,,Siaya,,,"FSW,MSM, PWID",IRDO,Yes
20823,ACE Africa wellness Centre,,Bungoma,,,"FSW, MSM",ACE Africa,Yes
21802,KANCO ,,Kakamega,,,"FSW, MSM",KANCO,Yes
21966,Survivors Busia,,Busia,,,"FSW, MSM",Survivors,Yes
23509,Malaba,,Busia,,,FSW,ADT,Yes
